Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
BMA5338,,,,
BMA5404,,,,
BMA5406,,,,
BMA5411,,,,
BMA5424,,,,
BMA5428,,,,
BMA5430,,,,
BMA5431,,,,
BMA5432,,,,
BMA5432A,,,,
BMA5505,,,,
BMA5506,,,,
BMA5528,,,,
BMA5531,,,,
BMA5533,,,,
BMA5538,,,,
BMA5539,,,,
BMA5701,,,,
BMA5801,,,,
BMA5803,,,,
BMA5804,,,,
BMA5805,,,,
BMA5901,,,,
BMA5903,,,,
BMA5905,,,,
BMC5021,,,,
BMC5022,,,,
BMC5023,,,,
BMC5024,,,,
BMC5026,,,,
BMC5027,,,,
BMC5029,,,,
BMC5030,,,,
BMC5031,,,,
BMC5034,,,,
BMC5036,,,,
BMC5038,,,,
BMC5125,,,,
BMC5203,,,,
BMC5305,,,,
BMC5337,,,,
BMC5411,,,,
BMC5415,,,,
BMC5501,,,,
BMC5601,,,,
BMC5707,,,,
BMC5813,,,,
BMC5815,,,,
BMD5301,,,,
BMD5302,,,,
BME5040,,,,
BME5041,,,,
BME5042,,,,
BME5043,,,,
BME5044,,,,
BME5045,,,,
BME5046,,,,
BME5049,,,,
BME5050,,,,
BME5054,,,,
BME5056B,,,,
BME5058,,,,
BME5101,,,,
BME5102,,,,
BME5103,,,,
BME5104,,,,
BME5105,,,,
BME5106,,,,
BME5107,,,,
BME5201,,,,
BME5301,,,,
BME5401,,,,
BME5402,,,,
BMF5321,,,,
BMF5322,,,,
BMF5323,,,,
BMF5324,,,,
BMF5331,,,,
BMF5332,,,,
BMF5333,,,,
BMF5334,,,,
BMF5342,,,,
BMF5343,,,,
BMF5344,,,,
BMF5346,,,,
BMF5351,,,,
BMF5353,,,,
BMF5354,,,,
BMF5355,,,,
BMF5356,,,,
BMF5357,,,,
BMF5358,,,,
BMF5359,,,,
BMF5360,,,,
BMF5361,,,,
BMF5362,,,,
BMF5391A,,,,
BMF5391B,,,,
BMF5391C,,,,
BMF5393A,,,,
BMG5101,,,,
BMG5102,,,,
BMG5103,,,,
BMG5104,,,,
BMG5201,,,,
BMG5202,,,,
BMG5203,,,,
BMG5204,,,,
BMG5205,,,,
BMG5206,,,,
BMG5301,,,,
BMG5302,,,,
BMH5101,,,,
BMH5102,,,,
BMH5103,,,,
BMH5104,,,,
BMH5105,,,,
BMH5106,,,,
BMH5107,,,,
BMH5108,,,,
BMH5109,,,,
BMH5110,,,,
BMH5111,,,,
BMH5112,,,,
BMH5113,,,,
BMH5301,,,,
BMH5302,,,,
BMI5101,,,,
BMI5102,,,,
BMI5106,,,,
BMI5107,,,,
BMI5108,,,,
BMI5109,,,,
BMI5110,,,,
BMI5111,,,,
BMI5201,,,,
BMI5206,,,,
BMI5207,,,,
BMI5306,,,,
BMK5100,,,,
BMK5101,,,,
BMK5102,,,,
BMK5103,,,,
BMK5104,,,,
BMK5201,,,,
BMK5202,,,,
BMK5203,,,,
BMK5204,,,,
BMK5206A,,,,
BMK5207,,,,
BMK5209,,,,
BMK5300A,,,,
BMK5300D,,,,
BMK6111U,,,,
BMK6111V,,,,
BMO6010A,,,,
BMO6011A,,,,
BMO6023A,,,,
BMO6028,,,,
BMP5000,,,,
BMP5100,,,,
BMP5101,,,,
BMP5102,,,,
BMP5103,,,,
BMP5104,,,,
BMP5105,,,,
BMP5106,,,,
BMP5107,,,,
BMP5300,,,,
BMS5107,,,,
BMS5110,,,,
BMS5112,,,,
BMS5114,,,,
BMS5117,,,,
BMS5118,,,,
BMS5120,,,,
BMS5121S,,,,
BMS5122,,,,
BMS5123S,,,,
BMS5124,,,,
BMS5124S,,,,
BMS5125,,,,
BMS5127,,,,
BMS5128,,,,
BMS5129,,,,
BMS5205,,,,
BMS5209,,,,
BMS5307,,,,
BMS5311,,,,
BMS5312,,,,
BMS5313,,,,
BMS5405S,,,,
BMS5408,,,,
BMS5410,,,,
BMS5412,,,,
BMS5413,,,,
BMS5414,,,,
BMS5415,,,,
BMS5418,,,,
BMS5504,,,,
BMS5505,,,,
BMS5506,,,,
BMS5508,,,,
BMS5515,,,,
BMS5516,,,,
BMS5519,,,,
BMS5520,,,,
BMS5900,,,,
BMS5900A,,,,
BMS5901,,,,
BMT5100,,,,
BMT5101,,,,
BMT5102,,,,
BMT5103,,,,
BMT5104,,,,
BMT5200,,,,
BMT5201,,,,
BMT5202,,,,
BMT5203,,,,
BMT5301A,,,,
BMT5301C,,,,
BMT5401B,,,,
BMU5003,,,,
BMU5004,,,,
BMU5006,,,,
BMU5015,,,,
BN1111,,,,
BN2001,,,,
BN2102,,,,
BN2105,,,,
BN2111,,,,
BN2201,0,1,0,-0.96914655
